"filename", "language", "C#", "GDScript", "comment", "blank", "total"
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Ammo.gd", "GDScript", 0, -5, 0, -4, -9
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Audioplayer.gd", "GDScript", 0, -7, 0, -5, -12
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Deathscreen.gd", "GDScript", 0, -53, 0, -24, -77
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Enemy_taxi.gd", "GDScript", 0, -131, -12, -29, -172
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Enemyplane.gd", "GDScript", 0, -41, 0, -7, -48
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Follow.gd", "GDScript", 0, -46, -1, -13, -60
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Gun.gd", "GDScript", 0, -151, 0, -27, -178
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Healthbar3d.gd", "GDScript", 0, -14, -1, -6, -21
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Healthbar3d_enemy.gd", "GDScript", 0, -8, 0, -8, -16
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\InputRecorder.gd", "GDScript", 0, -55, -11, -16, -82
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Loading_screen.gd", "GDScript", 0, -34, -14, -11, -59
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\MainMenu.gd", "GDScript", 0, -33, -1, -10, -44
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Menu.gd", "GDScript", 0, -15, 0, -6, -21
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Movement.gd", "GDScript", 0, -202, -17, -32, -251
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Particle_loader.gd", "GDScript", 0, -22, -3, -5, -30
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Popuptext.gd", "GDScript", 0, -24, 0, -5, -29
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Start.gd", "GDScript", 0, -11, -9, -7, -27
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Weapon state machine\idle.gd", "GDScript", 0, -15, -2, -1, -18
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Weapon state machine\machine_gun.gd", "GDScript", 0, -92, -7, -26, -125
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Weapon state machine\machine_gun_descend.gd", "GDScript", 0, -15, 0, -4, -19
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Weapon state machine\machine_gun_rise.gd", "GDScript", 0, -15, 0, -6, -21
