"filename", "language", "GDScript", "C#", "comment", "blank", "total"
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Ammo.gd", "GDScript", 5, 0, 0, 4, 9
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Audioplayer.gd", "GDScript", 7, 0, 0, 5, 12
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Deathscreen.gd", "GDScript", 52, 0, 0, 24, 76
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Enemy_taxi.gd", "GDScript", 131, 0, 12, 29, 172
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Enemyplane.gd", "GDScript", 41, 0, 0, 7, 48
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Follow.gd", "GDScript", 46, 0, 1, 13, 60
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Global.gd", "GDScript", 16, 0, 2, 1, 19
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Gun.gd", "GDScript", 151, 0, 0, 27, 178
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Healthbar3d.gd", "GDScript", 14, 0, 1, 6, 21
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Healthbar3d_enemy.gd", "GDScript", 8, 0, 0, 8, 16
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\InputRecorder.gd", "GDScript", 55, 0, 11, 16, 82
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Loading_screen.gd", "GDScript", 39, 0, 15, 10, 64
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\MainMenu.gd", "GDScript", 19, 0, 1, 9, 29
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Menu.gd", "GDScript", 31, 0, 1, 8, 40
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Movement.gd", "GDScript", 217, 0, 19, 32, 268
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\ObjectPool.gd", "GDScript", 19, 0, 0, 7, 26
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Particle_loader.gd", "GDScript", 22, 0, 3, 5, 30
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Popuptext.gd", "GDScript", 24, 0, 0, 5, 29
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Start.gd", "GDScript", 10, 0, 11, 5, 26
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Weapon state machine\idle.gd", "GDScript", 14, 0, 2, 2, 18
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Weapon state machine\machine_gun.gd", "GDScript", 94, 0, 7, 28, 129
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Weapon state machine\machine_gun_descend.gd", "GDScript", 16, 0, 0, 5, 21
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Weapon state machine\machine_gun_rise.gd", "GDScript", 16, 0, 0, 6, 22
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Weapon state machine\minigun.gd", "GDScript", 60, 0, 3, 11, 74
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Weapon state machine\minigun_descend.gd", "GDScript", 23, 0, 0, 3, 26
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Weapon state machine\minigun_rise.gd", "GDScript", 21, 0, 0, 3, 24
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Weapon state machine\rocket_launcher.gd", "GDScript", 43, 0, 0, 9, 52
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Weapon state machine\rocket_launcher_descend.gd", "GDScript", 16, 0, 0, 4, 20
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Weapon state machine\rocket_launcher_rise.gd", "GDScript", 17, 0, 0, 5, 22
"d:\Godot projects\New folder\No-mouse\Scripts\GDscript\Weapon state machine\state.gd", "GDScript", 11, 0, 4, 9, 24
